Joseph Arthur,,Akron,f24c343a-5c24-4633-8ae4-9a3e8cc1eee7,indie folk,folk rock,alternative rock,,
Damien Rice,IE,Celbridge,2119beb8-6ac5-4f21-82a4-b831c90c0024,songwriter,singer,irlande,irlandais,irish
The Maldives,US,Seattle,a2c99f22-d4e1-44a6-b131-78cbd4524c46,,,,,
The Album Leaf,US,,ffb18e19-64a4-4a65-b4ce-979e00c3c69d,post-rock,usa,américain,american,
Band of Horses,US,Seattle,07b6020a-c539-4d68-aeef-f159f3befc76,indie rock,pop rock,indie folk,folk rock,folk pop
John Moreland,US,Longview,c62ea4fb-b303-463b-a2a1-ff1cea9b1de5,singer-songwriter,americana,alternative country,,
The Tallest Man on Earth,SE,Leksand,7e35659f-f3bb-4c28-bcf5-47bd5cfa2bca,folk,contemporary folk,,,
Of Monsters and Men,IS,Keflavík,9e103f85-7af7-41d7-b83b-49ba8f0c5abf,indie,folk,indie rock,,
Daughter,GB,London,a1ced3e5-476c-4046-bd74-d428f419989b,alternative rock,indie folk,ambient,,
Dinosaur Jr.,US,Amherst,77c167d2-4965-4421-830a-9815e4956475,indie rock,alternative rock,noise rock,new wave,usa
Courteeners,GB,,1975afe1-8ad0-4ba0-a4a4-d3acd2ba9d5b,rock and indie,,,,
The Cure,GB,Crawley,69ee3720-a7cb-4402-b48d-a02c366f2bcf,post-punk,gothic rock,new wave,alternative rock,british
Pixies,US,Boston,b6b2bb8d-54a9-491f-9607-7b546023b433,alternative rock,indie rock,rock,american,usa
Maritime,US,Milwaukee,dbc59d71-6d29-4563-ba89-a60bab1c0f40,,,,,
Weezer,US,Los Angeles,6fe07aa5-fec0-4eca-a456-f29bff451b04,power pop,alternative rock,rock,geek rock,american
Belle and Sebastian,GB,Glasgow,e5c7b94f-e264-473c-bb0f-37c85d4d5c70,indie pop,twee pop,chamber pop,uk,sunshine pop
Don McLean,US,New Rochelle,fa19ee38-c2a9-4ed1-9b24-a18100cf9db3,folk rock,contemporary folk,singer/songwriter,rock,pop rock
New Radicals,US,Los Angeles,09a6ae88-7589-4ab2-b10c-dd50ebd526a0,pop rock,classic pop and rock,,,
Voxtrot,US,Austin,c163f6f1-84c0-48fa-81c5-8129739b6c3c,rock and indie,,,,
The Smashing Pumpkins,US,Chicago,ba0d6274-db14-4ef5-b28d-657ebde1a396,alternative rock,dream pop,symphonic rock,shoegaze,progressive rock
Green Day,US,Berkeley,084308bd-1654-436f-ba03-df6697104e19,rock,punk rock,pop punk,alternative rock,american
Blind Pilot,US,,215f057c-fb64-4b27-abf2-1871e71912d9,chilled,,,,
Pulp,GB,Sheffield,76b2e842-5e85-4c97-ab62-d5bc315595b5,britpop,indie pop,british,art rock,alternative rock
Placebo,GB,London,847e8284-8582-4b0e-9c26-b042a4f49e57,alternative rock,british,indie rock,rock,uk
Radiohead,GB,Abingdon-on-Thames,a74b1b7f-71a5-4011-9441-d0b5e4122711,alternative rock,rock,art rock,british,electronic
Interpol,US,New York,b23e8a63-8f47-4882-b55b-df2c92ef400e,post-punk,indie rock,post-punk revival,usa,synthpop
Nirvana,US,Aberdeen,5b11f4ce-a62d-471e-81fc-a69a8278c7da,grunge,rock,alternative rock,american,punk
EL VY,,,4137509d-f47e-4c4c-a9b1-bf50ff00a403,,,,,
The Damnwells,US,Brooklyn,d47367b1-a847-41f9-8123-8f1e80e27db1,rock,independent,americana,alternative rock,
Bright Eyes,US,Omaha,78f797e3-4913-4026-aad0-1cd858bd735b,indie folk,rock and indie,rock,indie rock,indie pop
Someone Still Loves You Boris Yeltsin,US,Springfield,c76b85c5-56eb-4b05-9d48-da395e56796a,classic pop and rock,,,,
Josh Ritter,US,Moscow,ac53c83c-c969-477f-9564-769e1ed80519,vocalist,usa,songwriter,singer-songwriter,musician
Camera Obscura,GB,Glasgow,94219793-a46b-4c39-9397-e05ad633f32d,rock and indie,rock,pop,indie pop,
Jake Bugg,GB,Clifton,0d9905e6-add6-4713-94ca-9f686f9b5e9b,folk,blues,uk,nottingham,british
Red Hot Chili Peppers,US,Los Angeles,8bfac288-ccc5-448d-9573-c33ea2aa5c30,rock,funk rock,alternative rock,rap rock,90s
The Clientele,GB,London,6b66dd3a-d88b-4732-bc13-359d8964b7f2,classic pop and rock,,,,
Ryan Adams & the Cardinals,US,New York,27a8ce8c-4e41-4a56-ba65-3a82662c9af9,,,,,
CHVRCHES,,,,,,,,
The Beatles,GB,Liverpool,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,rock,british,pop,pop rock,uk
Kashmir,DK,Frederiksberg Municipality,cd08ab5e-a823-4985-975d-3a3438b9b5d5,indie rock,danish,,,
Spoon,US,Austin,84eac621-1c5a-49a1-9500-555099c6e184,indie rock,indie pop,dance-punk,alternative rock,rock and indie
Oasis,GB,Manchester,39ab1aed-75e0-4140-bd47-540276886b60,britpop,rock,british,alternative rock,psychedelic rock
Travis,GB,Glasgow,22a40b75-affc-4e69-8884-266d087e4751,rock,britpop,scottish,alternative rock,uk
Silversun Pickups,US,Los Angeles,b5bd9f88-962e-4730-84a7-795592ba42e8,alternative rock,shoegaze,rock,indietronica,indie rock
Remy Zero,US,Birmingham,848a122b-9dcc-4ff7-91b8-e4f37b8f1147,,,,,
The Fratellis,GB,Glasgow,f4ad883e-9a92-45ed-a540-a49c2d1c36dd,rock,scottish,indie rock,british,uk
Bleachers,,Bergen County,58e235fc-f6ea-4614-9ed4-9855a5665ae1,,,,,
Edward Sharpe and the Magnetic Zeros,US,Los Angeles,4a069029-4f64-4946-b650-01aeb0b55d9d,,,,,
Shout Out Louds,SE,Stockholm,25a757f1-9fbe-4c52-be2e-1a5294fb25b9,rock and indie,,,,
